Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C13, C19, C5, C6",0402,5,4.7uF,C23733
"C10, C16, C17, C18, C3, C8, C9",0402,7,100nF,C60474
"C11, C12",0402,2,56pF,C107007
"C14, C15, C20",0402,3,10uF,C315248
"C2, C7",0603,2,47uF,C140782
C4,0402,1,15pF,C1548
"D1, D3",0402,2,LED,C779449
FB1,0402,1,120R/0.7A,C88970
"J1, J2",U.FL_Hirose_U.FL-R-SMT-1_Vertical,2,GPS,C392444
J3,SMN-304,1,SIM_Card_Shielded,C266889
J4,USB_C_Receptacle_HRO_TYPE-C-31-M-12,1,USB_C_Receptacle_USB2.0_14P,C165948
J5,JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical,1,LiPo,C2319
L1,0402,1,68n 200mA,C391307
Q1,SC-89,1,RE1C002UNTCL,C509959
"R1, R3",0402,2,100k,C25741
R10,0402,1,10M,C26082
"R11, R8, R9",0402,3,5.1k,C25905
"R12, R2, R5",0402,3,1k,C11702
R13,0402,1,402,C2933096
R6,0402,1,1M,C26083
R7,0402,1,249k,C11425
SW2,EU-01KS,1,SW_DIP_x01,C47817623
U1,Nordic_nRF9160-SIxx_LGA-102-59EP_16.0x10.5mm_P0.5mm,1,nRF9160-SICA,C1518973
U2,TDFN-4-1.2x1.6,1,SIP32409DNP,C145277
U3,VSON-8-1EP_3x3mm_P0.65mm_EP1.65x2.4mm_ThermalVias,1,TPS2113A,C354512
U4,LGA-12_2x2mm_P0.5mm,1,LIS2DH12TR,C110926
U5,VCF0007A-MFG,1,TPSM828438,C44545617
U6,DFN-8-1EP_2x2mm_P0.5mm_EP0.9x1.6mm,1,TP4056-DFN,C49208530
U8,QFN-20-1EP_4x4mm_P0.5mm_EP2.5x2.5mm,1,FT231XQ,C132159
U9,Winbond_USON-8-1EP_3x2mm_P0.5mm_EP0.2x1.6mm,1,ZD25WQ32C,C5258281
